f[Hz],U0,Z,1,ln (A),F [Hz]
"42,800",2.806,1.347095535286,"39,001.67798908","42,800",-3.432631978388
"42,000",2.8461,1.366346615458,"39,292.06743956","42,000",-3.309382206228
"41,000",2.9623,1.422131541047,"41,463.00561549","41,000",-2.96180454084
"43,000",2.766,1.327892462794,"38,179.24505146","43,000",-3.557341796769
"39,000",3.067,1.472395583293,"42,424.84890351","39,000",-2.660109792585
"38,000",3.1668,1.52030724916,"44,457.30172465","38,000",-2.381972586881
"37,000",3.247,1.558809409506,"46,028.75805425","37,000",-2.164739539715
"36,000",3.3272,1.597311569851,"47,776.96246776","36,000",-1.952807165097
"35,000",3.53,1.694671147384,"55,844.66144524","35,000",-1.438891204478
"34,000",3.6334,1.744311089774,"60,612.32605319","34,000",-1.188121075156
"33,000",3.7311,1.791214594335,"66,438.88056323","33,000",-0.9576475312776
"32,000",3.8207,1.834229476716,"73,622.56459366","32,000",-0.7515265446456
"31,000",3.9185,1.881180988958,"85,875.1207267","31,000",-0.5319882901557
"29,000",4.105,1.97071531445,"167,597.3824256","29,000",-0.1281220831254
,,,,,
"27,000",4.26,2.045127220355,,"27,000",0.1938066698199
"25,000",4.36,2.093134901584,,"25,000",0.3953444731372
"22,000",4.39,2.107537205953,,"22,000",0.4549050926079
"18,000",4.32,2.073931829093,,"18,000",0.3152896240637
"15,000",4.28,2.054728756601,,"15,000",0.2344900680289
"10,000",4.22,2.025924147864,,"10,000",0.1118637069989
"5,000",4.1955,2.014162265963,,"5,000",0.06128919630961
"1,000",4.24,2.035525684109,,"1,000",0.1529318196201
"45,000",2.68,1.286605856937,"37,811.11250712","45,000",-3.831689431659
"50,000",2.37,1.137782045127,"34,586.70282761","50,000",-4.899418392032
"60,000",1.97,0.9457513202112,"32,200.20474646","60,000",-6.505060789003
"70,000",1.68,0.8065290446471,"30,848.02428194","70,000",-7.888199677717
,,,,,
,,,,,
,,,,,
