X--Trace 1::[V(3) | V(PR1)],Y--Trace 1::[V(3) | V(PR1)],,X--Trace 2::[V(5) | V(PR2)],Y--Trace 2::[V(5) | V(PR2)]
1.25,1.25,,1.25,-2.48412
1.35,1.35,,1.35,-2.68413
1.45,1.45,,1.45,-2.88413
1.55,1.55,,1.55,-3.08413
1.65,1.65,,1.65,-3.28413
1.75,1.75,,1.75,-3.48414
1.85,1.85,,1.85,-3.68414
1.95,1.95,,1.95,-3.88414
2.05,2.05,,2.05,-4.08415
2.15,2.15,,2.15,-4.28415
2.25,2.25,,2.25,-4.48415
2.35,2.35,,2.35,-4.68416
2.45,2.45,,2.45,-4.88416
2.55,2.55,,2.55,-5.08416
2.65,2.65,,2.65,-5.28416
2.75,2.75,,2.75,-5.48417
2.85,2.85,,2.85,-5.68417
2.95,2.95,,2.95,-5.88417
3.05,3.05,,3.05,-6.08418
3.15,3.15,,3.15,-6.28418
3.25,3.25,,3.25,-6.48418
3.35,3.35,,3.35,-6.68418
3.45,3.45,,3.45,-6.88419
3.55,3.55,,3.55,-7.08419
3.65,3.65,,3.65,-7.28419
3.75,3.75,,3.75,-7.4842
3.85,3.85,,3.85,-7.6842
3.95,3.95,,3.95,-7.8842
4.05,4.05,,4.05,-8.08421
4.15,4.15,,4.15,-8.28421
4.25,4.25,,4.25,-8.48421
4.35,4.35,,4.35,-8.68421
4.45,4.45,,4.45,-8.88422
