lambda_nm,intensity,lambda_ref,intensity_ref,delta_lambda,lambda_nm_corr,delta2,lambda_nm_corr2,intensity_corr,N,S
299.32248,262.333312988,,,,303.2780325,-4.051828423672245,303.37430842367223,5.082342170117613,,
299.32852,255.666656494,,,,303.2840725,-4.051711400734503,303.38023140073454,-1.5843143238823814,,
299.33453,296.333312988,,,,303.2900824999999,-4.051594959036519,303.38612495903647,39.08234217011761,,
299.34058,230.0,,,,303.2961325,-4.0514777423521915,303.39205774235216,-27.250970817882376,,
299.34659,262.333312988,,,,303.30214249999995,-4.051361300654207,303.3979513006542,5.082342170117613,,
299.35263,244.0,,,,303.30818249999993,-4.0512442777164654,303.40387427771645,-13.250970817882376,,
299.35864,239.666656494,,,,303.3141925,-4.051127836018481,303.4097678360185,-17.58431432388238,,
299.36469,249.333312988,,,,303.32024249999995,-4.0510106193341535,303.41570061933413,-7.917657829882387,,
299.3707,252.0,,,,303.3262525,-4.050894177636168,303.42159417763617,-5.250970817882376,,
299.37671,233.666656494,,,,303.33226249999996,-4.050777735938184,303.4274877359382,-23.58431432388238,,
299.38275,245.0,,,,303.33830249999994,-4.050660713000442,303.43341071300046,-12.250970817882376,,
299.38876,250.0,,,,303.3443125,-4.050544271302457,303.43930427130243,-7.250970817882376,,
299.39481,234.333312988,,,,303.35036249999996,-4.0504270546181305,303.44523705461813,-22.917657829882387,,
299.40082,233.0,,,,303.3563725,-4.050310612920145,303.45113061292017,-24.250970817882376,,
299.40686,248.333312988,,,,303.3624125,-4.0501935899824035,303.4570535899824,-8.917657829882387,,
299.41287,254.333312988,,,,303.36842249999995,-4.050077148284419,303.4629471482844,-2.917657829882387,,
299.41891,250.333312988,,,,303.37446249999994,-4.0499601253466775,303.46887012534665,-6.917657829882387,,
299.42493,262.333312988,,,,303.38048249999997,-4.0498434899021065,303.47477348990213,5.082342170117613,,
299.43094,248.666656494,,,,303.38649250000003,-4.049727048204122,303.48066704820417,-8.584314323882381,,
