un,i-a [ua],i9,i11,intensity,v,sigma,ln_sigma_div_v,if,m,phi,s
770.0,97.44702689958734,11.332500338458651,0.8807536197877776,Φ1,59.23076923076923,0.27722895807708575,-5.36435270814126,40.87776550134982,2.383863836597662,9e-05,1082744.7433287483
762.0,88.54877080437339,10.139419600308493,0.8109453429116766,Φ1,58.61538461538461,0.2811127713994909,-5.339996566675144,36.068868553464995,2.454991641146638,9e-05,983875.2311597043
750.0,78.69461064575306,9.099061197743787,0.7511097889090529,Φ1,57.69230769230769,0.2855201203600804,-5.308566627322207,31.868371259680792,2.4693640601995828,9e-05,874384.5627305895
740.0,68.80986628548688,8.006452083871574,0.6811521487609203,Φ1,56.92307692307692,0.28974232912011777,-5.2804640999818675,27.63300794946105,2.490133047091203,9e-05,764554.0698387431
728.0,58.94057544457488,7.014591651886158,0.6111124148866535,Φ1,56.0,0.2931134472482395,-5.252547243666174,23.931319827662012,2.462905341996473,9e-05,654895.2827174986
716.0,49.062956387852054,6.081981660210119,0.5509969926801318,Φ1,55.07692307692308,0.2988071523335984,-5.2166876986496336,20.35420374884464,2.41045815366946,9e-05,545143.9598650228
696.0,39.24840561072345,4.932763312629611,0.47069602397426513,Φ1,53.53846153846154,0.3065941943351178,-5.16263055122895,16.088899932781942,2.439471049897753,9e-05,436093.395674705
674.0,29.425864781346547,3.672633344017806,0.3702989048555103,Φ1,51.84615384615385,0.3149535052285719,-5.103611006950566,11.660874646727484,2.5234697801682175,9e-05,326954.05312607274
644.0,19.624148215644652,2.4832281476707525,0.2798075248398497,Φ1,49.53846153846154,0.33267391956523024,-5.003341857918975,7.464450928152318,2.629014297840958,9e-05,218046.09128494057
597.0,9.839771165508818,1.3446948509395444,0.1694772612326728,Φ1,45.92307692307692,0.350982059081517,-4.8739879264815595,3.831235290084254,2.5683024978850693,9e-05,109330.79072787575
564.0,5.929608899815415,0.8301693525172326,0.1196549926634094,Φ1,43.38461538461539,0.3735436838188142,-4.754825217269276,2.222415713284829,2.668091691563497,9e-05,65884.54333128239
505.0,2.19245210494818,0.34749387351054073,0.060470534268511955,Φ1,38.84615384615385,0.4026936331284146,-4.569188293521908,0.8629236842185899,2.540725379363679,9e-05,24360.578943868666
457.0,1.1876000398270914,0.13361495725022585,0.020669853887528938,Φ1,35.15384615384615,0.3651483716701107,-4.5671855437038005,0.3659196305301857,3.245521531890383,9e-05,13195.555998078793
420.0,0.6780195914638412,0.06987848286282554,0.009588424242526808,Φ1,32.30769230769231,0.3535533905932738,-4.515026124655795,0.19764619636532754,3.430471235634586,9e-05,7533.551016264902
795.0,98.10629529266362,10.988159602952749,0.8096196116364397,Φ2,61.15384615384615,0.2697707921985813,-5.423575355494348,40.73146508338175,2.4086119930090737,6.8e-05,1442739.636656818
