tau,tk_1,tk_2,t0_1,t0_2
1.2157278,13.852196,13.806112,20.797204,21.431567
3.320931,13.856324,13.808406,20.767325,21.421759
5.426136,13.863358,13.820485,20.738059,21.411798
7.5312152,13.876355,13.844951,20.711858,21.401684
9.6369743,13.900209,13.879204,20.69102,21.392949
11.752303,13.929568,13.906422,20.671408,21.3859
13.858968,13.961527,13.936241,20.656086,21.38023
15.965544,13.990733,13.980893,20.640611,21.37456
18.069684,14.026363,14.018205,20.626668,21.369196
20.175309,14.064286,14.055365,20.610887,21.359388
22.279438,14.10114,14.088243,20.595412,21.351573
24.38505,14.138146,14.116228,20.582235,21.341918
26.490526,14.177294,14.155683,20.579018,21.332571
28.595837,14.211855,14.19055,20.596638,21.329046
30.7003,14.246722,14.231841,20.626668,21.32736
32.80562,14.282507,14.271755,20.657925,21.32782
34.910053,14.318598,14.303106,20.685351,21.329506
37.015364,14.356525,14.34394,20.711092,21.331191
39.119811,14.391852,14.379421,20.732696,21.333797
41.225118,14.426568,14.410161,20.752462,21.335482
43.329516,14.463731,14.443349,20.771768,21.335023
45.43489,14.498448,14.476231,20.784946,21.335635
47.539797,14.536683,14.512172,20.791381,21.32828
49.644633,14.574459,14.550561,20.794292,21.321997
51.749242,14.60933,14.586503,20.794292,21.317859
53.854401,14.642824,14.627645,20.7923,21.313109
55.958826,14.680449,14.671083,20.789083,21.307592
58.064127,14.717003,14.704885,20.789849,21.300849
60.168624,14.750958,14.746335,20.790002,21.296559
62.27387,14.78843,14.772948,20.792147,21.2938
64.38034,14.82468,14.805375,20.796591,21.291655
66.484966,14.863071,14.840708,20.799502,21.287517
68.589157,14.89718,14.881089,20.799808,21.282307
70.694721,14.932054,14.927894,20.796591,21.278783
72.799871,14.968611,14.955122,20.792454,21.271121
74.902841,15.003792,14.991527,20.78801,21.265144
77.008902,15.04035,15.020437,20.78326,21.258095
79.113916,15.075531,15.056996,20.779123,21.251659
81.21808,15.111325,15.094626,20.772228,21.242311
83.323849,15.147272,15.127973,20.766099,21.23465
85.429484,15.182149,15.170193,20.760736,21.226834
87.536062,15.215343,15.206295,20.755067,21.219172
89.642195,15.249762,15.23536,20.748632,21.211664
91.747893,15.283874,15.268556,20.746333,21.207986
93.852269,15.321353,15.30527,20.747406,21.208752
95.957244,15.360668,15.338314,20.751083,21.21197
98.063975,15.396924,15.371205,20.755833,21.21764
100.17073,15.435168,15.415722,20.763035,21.220092
102.27716,15.470201,15.449379,20.766865,21.220858
104.38237,15.503704,15.485025,20.766406,21.219019
106.48815,15.539655,15.520824,20.761809,21.213349
108.5937,15.572853,15.558918,20.759664,21.206913
110.6998,15.608805,15.591505,20.754607,21.203236
112.80585,15.643228,15.621032,20.751083,21.20247
114.91091,15.679793,15.653314,20.747099,21.20155
117.01536,15.715899,15.692939,20.743422,21.19634
119.12163,15.752158,15.73073,20.742656,21.197413
121.22606,15.789948,15.761023,20.740204,21.189598
123.33174,15.824372,15.802792,20.732543,21.182242
125.43631,15.859256,15.841349,20.729172,21.177645
127.53983,15.889856,15.881742,20.726414,21.175806
129.64691,15.924587,15.909894,20.721971,21.174734
131.75125,15.95886,15.946157,20.716455,21.173508
133.85637,15.993745,15.984103,20.715689,21.172588
135.96105,16.030773,16.016235,20.715842,21.169983
138.06641,16.067036,16.048061,20.714463,21.168911
140.17208,16.102687,16.084631,20.713544,21.169217
142.27793,16.137114,16.114622,20.716608,21.171669
144.38285,16.172001,16.157161,20.714923,21.173048
146.48887,16.20643,16.193732,20.714616,21.173661
148.59354,16.240399,16.222959,20.713237,21.172435
150.69741,16.277582,16.255399,20.711092,21.169983
152.80071,16.313848,16.286768,20.709713,21.166459
154.90606,16.347819,16.329921,20.704504,21.163088
157.01173,16.381943,16.37338,20.696843,21.158031
159.11969,16.41775,16.407353,20.691786,21.153587
161.22478,16.451875,16.435816,20.685045,21.148071
163.32909,16.484623,16.47086,20.679682,21.143933
165.4355,16.522115,16.50973,20.675698,21.143167
167.5424,16.557159,16.547529,20.672481,21.145159
169.64769,16.592356,16.578749,20.670335,21.146538
171.75351,16.625717,16.611651,20.668037,21.148837
173.85879,16.661068,16.648687,20.663594,21.146692
175.96431,16.701623,16.679142,20.659457,21.146845
178.06923,16.73621,16.71526,20.655933,21.150982
180.17269,16.768501,16.746633,20.652102,21.153281
182.27914,16.800181,16.78168,20.64674,21.156039
184.38176,16.836299,16.815045,20.640764,21.156192
186.48754,16.869204,16.857439,20.634176,21.155579
188.59319,16.904863,16.889273,20.631111,21.153434
190.69734,16.94037,16.91774,20.626975,21.152821
192.80255,16.975113,16.953555,20.623757,21.151595
194.90781,17.007253,16.991359,20.623604,21.151748
