Wavelength [nm]	Wavenumbers [1/cm]	1 corrected	2 corrected	3 corrected	4 corrected
330.000	30303.03	0.05449	0.001164	1.548E-5	1.546E-5
332.000	30120.48	0.05518	0.001239	7.122E-5	0.000114
334.000	29940.12	0.05511	0.001178	3.999E-5	0.0001059
336.000	29761.90	0.05423	0.001107	6.183E-5	0.000124
338.000	29585.80	0.05295	0.001025	7.089E-5	6.99E-5
340.000	29411.76	0.05103	0.001063	7.837E-5	0.0001236
342.000	29239.76	0.04872	0.0008697	0.0001064	0.0001168
344.000	29069.76	0.04625	0.0008113	8.11E-5	5.061E-5
346.000	28901.73	0.04357	0.0007068	3.938E-5	4.906E-5
348.000	28735.63	0.04104	0.0005304	6.71E-5	6.718E-5
350.000	28571.43	0.03864	0.0005405	8.514E-5	8.514E-5
352.000	28409.09	0.03634	0.0004557	8.394E-5	4.599E-5
354.000	28248.59	0.03416	0.0003803	8.167E-5	0.0001464
356.000	28089.89	0.03197	0.0003838	0.0001136	0.0001307
358.000	27932.96	0.02984	0.0002925	8.145E-6	0.0001003
360.000	27777.78	0.02797	0.0002603	-2.43E-5	6.517E-5
362.000	27624.31	0.02629	0.0002359	3.207E-5	8.116E-5
364.000	27472.53	0.02487	0.0002102	7.499E-5	0.0001088
366.000	27322.40	0.02355	0.0001768	2.578E-5	9.734E-5
368.000	27173.91	0.02248	0.0001514	2.848E-5	8.468E-6
370.000	27027.02	0.02164	0.0002844	1.496E-5	1.496E-5
372.000	26881.72	0.02069	0.0002777	1.388E-5	1.388E-5
374.000	26737.97	0.01973	0.0002568	-1.273E-5	1.284E-5
376.000	26595.74	0.0189	0.0002378	-1.189E-5	-2.342E-5
378.000	26455.02	0.01805	0.0002421	3.238E-5	-2.204E-5
380.000	26315.79	0.01722	0.0002364	2.039E-5	-3.097E-5
382.000	26178.01	0.01644	0.0002019	1.924E-5	-6.774E-5
384.000	26041.66	0.01577	0.0001628	1.81E-5	-5.425E-5
386.000	25906.73	0.01516	0.0001711	1.711E-5	-2.571E-5
388.000	25773.19	0.01468	0.0001786	2.431E-5	-2.437E-5
390.000	25641.02	0.01439	0.000155	-7.339E-6	-3.085E-5
392.000	25510.20	0.01429	0.0001404	1.518E-5	-2.205E-5
394.000	25380.71	0.01438	0.0001777	6.998E-6	-1.409E-5
396.000	25252.52	0.01467	0.0001703	2.737E-5	-2.733E-5
398.000	25125.63	0.01513	0.0001707	2.626E-5	-2.626E-5
400.000	25000.00	0.01589	0.0001394	1.267E-5	1.267E-5
402.000	24875.62	0.01687	0.0001348	1.225E-5	1.225E-5
404.000	24752.47	0.01807	0.0001657	2.356E-5	1.188E-5
406.000	24630.54	0.01961	0.0001845	4.635E-5	1.151E-5
408.000	24509.80	0.0215	0.0002236	3.342E-5	1.116E-5
410.000	24390.24	0.02386	0.0002711	3.253E-5	1.084E-5
412.000	24271.84	0.02675	0.0003471	4.208E-5	1.053E-5
414.000	24154.59	0.03019	0.0004194	3.087E-5	1.025E-5
416.000	24038.46	0.03428	0.0005272	4.959E-5	1.98E-5
418.000	23923.44	0.03902	0.0006836	3.883E-5	1.948E-5
420.000	23809.52	0.0444	0.0008846	5.71E-5	1.9E-5
422.000	23696.68	0.05067	0.001142	7.43E-5	1.858E-5
424.000	23584.90	0.05776	0.001483	0.0001001	1.823E-5
426.000	23474.18	0.06583	0.001931	0.0001252	2.678E-5
428.000	23364.48	0.0748	0.002515	0.0001684	2.647E-5
430.000	23255.81	0.08482	0.003238	0.0002352	5.237E-5
432.000	23148.15	0.09588	0.004159	0.0003259	6.001E-5
434.000	23041.47	0.108	0.005277	0.0004489	5.933E-5
436.000	22935.78	0.1213	0.00667	0.0006273	7.532E-5
438.000	22831.05	0.1356	0.008341	0.0008678	0.0001074
440.000	22727.27	0.1512	0.01038	0.001179	0.0001651
442.000	22624.43	0.1678	0.01285	0.001609	0.0002369
444.000	22522.52	0.1852	0.01568	0.002167	0.0003408
446.000	22421.52	0.2033	0.01897	0.002867	0.0004777
448.000	22321.43	0.2218	0.02267	0.003727	0.0006815
450.000	22222.22	0.2411	0.02683	0.004773	0.0009307
452.000	22123.89	0.2607	0.03148	0.006064	0.001258
454.000	22026.43	0.2804	0.03653	0.007548	0.001673
456.000	21929.82	0.3005	0.04207	0.009322	0.002208
458.000	21834.06	0.3207	0.04806	0.01135	0.002865
