Wavelength [nm]	Wavenumbers [1/cm]	TVRSTVA corrected	VZOREK corrected
330.000	30303.03	0.003117	0.8174
332.000	30120.48	0.005869	0.825
334.000	29940.12	0.01028	0.8314
336.000	29761.90	0.01697	0.8369
338.000	29585.80	0.02617	0.8418
340.000	29411.76	0.03871	0.8461
342.000	29239.76	0.05548	0.8498
344.000	29069.76	0.07793	0.8528
346.000	28901.73	0.1072	0.8551
348.000	28735.63	0.1419	0.8574
350.000	28571.43	0.1785	0.8596
352.000	28409.09	0.211	0.8615
354.000	28248.59	0.2373	0.8634
356.000	28089.89	0.2617	0.8649
358.000	27932.96	0.2917	0.8661
360.000	27777.78	0.3342	0.867
362.000	27624.31	0.3929	0.8672
364.000	27472.53	0.4691	0.8681
366.000	27322.40	0.5511	0.8683
368.000	27173.91	0.619	0.869
370.000	27027.02	0.6491	0.8689
372.000	26881.72	0.6379	0.8692
374.000	26737.97	0.6021	0.8695
376.000	26595.74	0.5635	0.8697
378.000	26455.02	0.5326	0.8697
380.000	26315.79	0.5158	0.8703
382.000	26178.01	0.515	0.8705
384.000	26041.66	0.53	0.8713
386.000	25906.73	0.5606	0.8725
388.000	25773.19	0.6051	0.8728
390.000	25641.02	0.66	0.8732
392.000	25510.20	0.7212	0.8736
394.000	25380.71	0.7806	0.8738
396.000	25252.52	0.8282	0.8747
398.000	25125.63	0.8544	0.8747
400.000	25000.00	0.8547	0.8751
402.000	24875.62	0.8313	0.8755
404.000	24752.47	0.7938	0.8757
406.000	24630.54	0.7486	0.8763
408.000	24509.80	0.7034	0.8759
410.000	24390.24	0.663	0.877
412.000	24271.84	0.629	0.8767
414.000	24154.59	0.6042	0.8763
416.000	24038.46	0.5888	0.8769
418.000	23923.44	0.5816	0.8777
420.000	23809.52	0.5817	0.8776
422.000	23696.68	0.5885	0.8778
424.000	23584.90	0.6021	0.8783
426.000	23474.18	0.6219	0.8783
428.000	23364.48	0.647	0.8784
430.000	23255.81	0.6768	0.8786
432.000	23148.15	0.7099	0.8787
434.000	23041.47	0.7457	0.8792
436.000	22935.78	0.7818	0.8792
438.000	22831.05	0.8153	0.8795
440.000	22727.27	0.8443	0.88
442.000	22624.43	0.8646	0.88
444.000	22522.52	0.8747	0.8801
446.000	22421.52	0.875	0.8808
448.000	22321.43	0.8654	0.8806
450.000	22222.22	0.8495	0.8818
452.000	22123.89	0.826	0.8819
454.000	22026.43	0.7991	0.8815
456.000	21929.82	0.7708	0.8811
458.000	21834.06	0.7432	0.8815
460.000	21739.13	0.7174	0.8819
462.000	21645.02	0.6931	0.8821
464.000	21551.72	0.6719	0.8822
466.000	21459.23	0.6536	0.8822
468.000	21367.52	0.6386	0.8822
470.000	21276.59	0.6279	0.8841
472.000	21186.44	0.6206	0.8844
474.000	21097.05	0.6159	0.8843
476.000	21008.40	0.6147	0.8845
478.000	20920.50	0.6169	0.8848
480.000	20833.33	0.6218	0.8854
482.000	20746.89	0.629	0.8852
484.000	20661.16	0.6389	0.8856
486.000	20576.13	0.6515	0.8857
488.000	20491.80	0.6659	0.8858
490.000	20408.16	0.6822	0.8858
492.000	20325.20	0.7005	0.8859
494.000	20242.91	0.7211	0.8868
496.000	20161.29	0.743	0.887
498.000	20080.32	0.7688	0.8882
500.000	20000.00	0.7867	0.8868
502.000	19920.32	0.8079	0.8873
504.000	19841.27	0.8265	0.8871
506.000	19762.84	0.8444	0.8875
508.000	19685.04	0.8599	0.888
510.000	19607.84	0.8719	0.8878
512.000	19531.25	0.8802	0.8882
514.000	19455.25	0.885	0.8885
516.000	19379.84	0.8861	0.8885
518.000	19305.02	0.8839	0.8882
520.000	19230.77	0.8775	0.8881
522.000	19157.09	0.8676	0.8884
524.000	19083.97	0.855	0.8884
526.000	19011.41	0.841	0.8888
528.000	18939.39	0.825	0.8889
530.000	18867.92	0.8086	0.8891
532.000	18796.99	0.7926	0.8895
534.000	18726.59	0.7757	0.8892
536.000	18656.72	0.7599	0.8897
538.000	18587.36	0.744	0.8899
540.000	18518.52	0.7289	0.8901
542.000	18450.18	0.7148	0.8905
544.000	18382.35	0.7017	0.8903
546.000	18315.02	0.6901	0.8909
548.000	18248.17	0.6789	0.8904
