Frame,Point_0_x,Point_0_y,Point_1_x,Point_1_y,Point_2_x,Point_2_y,Point_3_x,Point_3_y,Point_4_x,Point_4_y,Point_5_x,Point_5_y,Point_6_x,Point_6_y,Point_7_x,Point_7_y,Point_8_x,Point_8_y,Point_9_x,Point_9_y,Point_10_x,Point_10_y,Point_11_x,Point_11_y,Point_12_x,Point_12_y,Point_13_x,Point_13_y,Point_14_x,Point_14_y,Point_15_x,Point_15_y,Point_16_x,Point_16_y,Point_17_x,Point_17_y,Point_18_x,Point_18_y,Point_19_x,Point_19_y,Point_20_x,Point_20_y,Point_21_x,Point_21_y,Point_22_x,Point_22_y,Point_23_x,Point_23_y,Point_24_x,Point_24_y,Point_25_x,Point_25_y,Point_26_x,Point_26_y,Point_27_x,Point_27_y,Point_28_x,Point_28_y,Point_29_x,Point_29_y,Point_30_x,Point_30_y,Point_31_x,Point_31_y,Point_32_x,Point_32_y,Point_33_x,Point_33_y,Point_34_x,Point_34_y,Point_35_x,Point_35_y,Point_36_x,Point_36_y,Point_37_x,Point_37_y,Point_38_x,Point_38_y,Point_39_x,Point_39_y,Point_40_x,Point_40_y,Point_41_x,Point_41_y,Point_42_x,Point_42_y,Point_43_x,Point_43_y,Point_44_x,Point_44_y,Point_45_x,Point_45_y,Point_46_x,Point_46_y,Point_47_x,Point_47_y,Point_48_x,Point_48_y,Point_49_x,Point_49_y,Point_50_x,Point_50_y,Point_51_x,Point_51_y,Point_52_x,Point_52_y,Point_53_x,Point_53_y,Point_54_x,Point_54_y,Point_55_x,Point_55_y,Point_56_x,Point_56_y,Point_57_x,Point_57_y,Point_58_x,Point_58_y,Point_59_x,Point_59_y,Point_60_x,Point_60_y,Point_61_x,Point_61_y,Point_62_x,Point_62_y,Point_63_x,Point_63_y,Point_64_x,Point_64_y,Point_65_x,Point_65_y,Point_66_x,Point_66_y,Point_67_x,Point_67_y,Point_68_x,Point_68_y,Point_69_x,Point_69_y,Point_70_x,Point_70_y,Point_71_x,Point_71_y,Point_72_x,Point_72_y,Point_73_x,Point_73_y,Point_74_x,Point_74_y,Point_75_x,Point_75_y,Point_76_x,Point_76_y,Point_77_x,Point_77_y,Point_78_x,Point_78_y,Point_79_x,Point_79_y,Point_80_x,Point_80_y,Point_81_x,Point_81_y,Point_82_x,Point_82_y,Point_83_x,Point_83_y,Point_84_x,Point_84_y,Point_85_x,Point_85_y,Point_86_x,Point_86_y,Point_87_x,Point_87_y,Point_88_x,Point_88_y,Point_89_x,Point_89_y,Point_90_x,Point_90_y,Point_91_x,Point_91_y,Point_92_x,Point_92_y,Point_93_x,Point_93_y,Point_94_x,Point_94_y,Point_95_x,Point_95_y,Point_96_x,Point_96_y,Point_97_x,Point_97_y,Point_98_x,Point_98_y,Point_99_x,Point_99_y,Point_100_x,Point_100_y,Point_101_x,Point_101_y,Point_102_x,Point_102_y,Point_103_x,Point_103_y,Point_104_x,Point_104_y,Point_105_x,Point_105_y,Point_106_x,Point_106_y,Point_107_x,Point_107_y,Point_108_x,Point_108_y,Point_109_x,Point_109_y,Point_110_x,Point_110_y,Point_111_x,Point_111_y,Point_112_x,Point_112_y,Point_113_x,Point_113_y,Point_114_x,Point_114_y,Point_115_x,Point_115_y,Point_116_x,Point_116_y,Point_117_x,Point_117_y,Point_118_x,Point_118_y,Point_119_x,Point_119_y,Point_120_x,Point_120_y,Point_121_x,Point_121_y,Point_122_x,Point_122_y,Point_123_x,Point_123_y
0,,,811.3991089,1307.32312,1206.085693,1214.561646,111.5421829,960.126709,188.1754608,640.4462891,119.9080887,978.1608887,1826.135376,292.3756409,,,440.5909119,1048.946533,1705.587769,920.3085938,1598.09021,931.0363159,979.0075684,1048.940552,,,1427.10376,192.2260895,476.708374,1263.322632,1086.564697,867.1074829,,,1741.302734,515.0758057,1210.873291,880.6741943,1487.551636,882.0830688,1616.248901,721.6174316,1430.348145,331.5438232,1616.210327,1367.308228,,,,,1112.832031,1196.480835,61.40716553,1274.399414,1801.720215,352.0171204,,,533.6635742,1170.020996,457.1665344,1179.870239,1281.501953,616.2955322,290.6938477,1399.887573,,,403.9602356,1192.800171,,,1173.471924,387.2479858,1484.341431,1188.241821,95.53356934,916.1538696,431.0496521,829.6373901,,,,,1835.002319,408.7810059,15.99567032,367.1214294,1616.440674,1315.576172,29.81113052,1147.203613,,,1154.033081,790.53479,1320.184204,1301.889648,168.8161621,1421.517212,1019.936707,60.26292801,1258.0625,780.0263672,1709.716431,1267.574707,1335.75,990.4115601,501.1183472,216.1859283,794.1971436,1199.846802,1776.119995,632.9534912,248.2988434,1352.740112,1223.77124,1359.166626,1284.756714,805.586792,1278.112671,975.1502686,222.5919342,1315.587646,139.4001923,1025.729736,1497.928345,95.55076599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,811.6660156,1306.844482,1204.987305,1214.000122,110.4576035,960.1602783,188.4026794,640.0237427,119.5516663,978.2698975,1821.555908,289.1032104,,,440.6419678,1049.384399,1704.76709,920.6949463,1605.716675,928.9682617,979.0183716,1048.716919,,,1426.711914,192.5055695,476.8346863,1263.144531,1086.638184,867.2331543,,,1741.53064,515.090271,1210.62085,880.4133911,1487.785889,881.8599243,1615.681396,721.6720581,1433.202515,331.0969543,1616.692871,1367.335083,,,,,1112.056396,1194.985474,61.06708145,1274.144653,1801.648193,352.2514954,,,533.7025146,1169.977051,456.0961609,1179.591187,1281.458496,616.3762817,289.9274597,1400.014771,,,403.309906,1194.597412,,,1173.375366,387.0753174,1484.476318,1188.322266,93.88426971,917.3885498,430.6564026,830.9589233,,,,,1834.791626,408.6550903,16.01968002,366.9389648,1616.198242,1314.595947,29.70926285,1147.177612,,,1153.043457,790.8676147,1319.586548,1303.075562,167.2195435,1424.420898,1020.601807,59.5658989,1257.894897,779.7644043,1710.039429,1267.790405,1327.075073,983.0710449,499.0727539,215.3803101,790.7984619,1204.356445,1777.846436,633.2224121,246.4951019,1354.605225,1221.921021,1355.751465,1285.115601,805.3487549,1276.619385,974.477356,222.3336792,1315.126221,139.712738,1025.700684,16.36386681,1355.400269,1794.472046,920.5598755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,811.8752441,1306.841675,1204.552612,1213.768555,110.6734467,960.1367798,188.3740997,640.4169312,119.5275421,978.4035645,1825.636963,287.8769226,,,440.5045166,1049.318726,1704.58606,920.6483154,1605.633789,928.8909302,978.9912109,1048.395996,,,1426.791016,192.6699829,476.5518188,1263.191284,1086.591064,866.8921509,,,1741.349976,515.1226807,1211.149292,880.6508789,1487.696777,881.9713135,1615.62085,721.2047729,1433.151245,330.7946472,1616.317749,1367.421875,,,,,1111.844727,1195.327148,62.88006592,1274.264771,1801.622314,352.0466003,,,533.6858521,1169.902344,456.6755981,1178.742188,1281.265259,616.4335327,290.0859375,1400.005249,,,403.8063354,1195.348022,,,1173.421265,386.8091125,1484.380371,1188.329468,94.50001526,916.3111572,430.7088013,830.6908569,,,,,1834.552124,408.5568542,15.96294117,367.0349426,1616.127808,1315.097046,30.22359657,1146.838867,,,1154.037476,790.3711548,1322.986084,1304.739624,167.1130676,1423.718384,1020.149048,60.07086182,1257.365845,779.6881104,1710.207397,1267.925171,1327.248657,982.932373,500.5921021,215.5267334,794.9761963,1207.114258,1777.524292,633.1816406,247.2104797,1353.811035,1220.299927,1355.171997,1285.203003,805.5984497,1275.118896,972.2085571,222.380188,1315.337402,140.0859222,1025.192871,12.65055561,1353.346436,1801.901001,938.9857178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,811.6694336,1306.878174,1204.454956,1213.807373,111.0531158,960.2200928,188.579071,640.1185303,119.5196075,978.4255371,1825.101685,287.6997986,,,440.8645325,1049.227783,1704.175537,920.5564575,1605.552612,929.2139893,979.2641602,1048.643188,,,1426.711914,192.6501923,476.5135803,1263.755615,1086.338867,867.0449829,,,1741.577271,515.4466553,1211.197266,880.6994629,1487.948975,881.8237305,1615.327393,721.3743896,1433.22522,330.7504272,1616.61853,1367.505615,,,,,1112.100098,1195.426636,62.63869095,1274.213989,1801.739258,352.002655,,,534.3344116,1170.224731,456.6595459,1179.244263,1281.622314,616.4368896,290.1377258,1400.03064,,,402.177063,1193.658691,,,1173.111572,386.5866394,1484.567871,1188.322388,94.37335205,916.3756714,430.9262085,830.7913208,,,,,1834.265381,408.4982605,15.91855812,367.0158386,1616.34668,1314.970093,30.18636513,1146.558228,,,1154.420898,790.3898926,1322.362061,1304.092285,166.815155,1423.274902,1020.318787,60.54317856,1257.901855,779.7305298,1709.974243,1268.130005,1327.113647,982.9159546,499.3909302,215.8210297,794.2028809,1207.413208,1778.817017,632.6992798,247.2761688,1353.875244,1222.115356,1354.299927,1285.4375,805.1693726,1275.241089,972.6691284,222.8968658,1314.608521,140.7245331,1024.071899,13.09140396,1352.965698,1801.911377,938.6547241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,812.0657349,1306.888916,1204.674927,1213.478149,110.1151505,960.241394,188.4976349,640.2872314,119.3312149,978.4273071,1824.948853,287.58255,,,440.7235413,1049.373779,1702.424683,920.9743652,1605.12207,933.652771,979.3788452,1048.524048,,,1426.510742,192.701416,476.8492737,1263.963135,1086.348999,867.1644897,,,1740.527588,514.2791138,1207.86438,880.8206177,1488.13147,881.2288208,1615.647705,721.3205566,1432.51123,331.0378723,1616.787842,1367.477051,,,,,1111.789185,1195.504395,61.33871078,1275.580444,1800.765503,352.6214905,,,534.7837524,1170.385498,455.1774902,1180.210938,1280.850952,616.62677,288.3418274,1400.391357,,,403.6750793,1195.746948,,,1173.427979,385.8543396,1484.670654,1188.679199,94.2118988,916.8202515,430.4813538,829.7682495,,,,,1834.588745,408.197937,16.41367912,367.065155,1615.802734,1314.867432,30.7150383,1146.486816,,,1154.359741,790.368103,1322.851807,1304.270264,166.0266113,1424.103149,1018.55304,59.50826263,1257.899414,779.734314,1706.607544,1268.037598,1328.178467,984.9110718,500.02771,216.3171997,794.2755127,1207.813843,1781.089966,631.4876709,246.4119263,1354.335205,1219.038452,1352.623169,1285.406006,805.5237427,1271.758911,972.4278564,224.2860107,1314.330688,144.788269,1021.924866,12.14183426,1352.011475,1798.936157,941.0501709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,812.0422363,1306.392822,1204.079224,1213.430542,110.3149567,960.2062988,188.5695038,640.1170654,119.4968109,978.4572144,1828.114624,288.9450684,,,441.5560303,1049.353271,1702.936279,921.0280762,1605.587891,933.6886597,979.1139526,1047.844727,,,1426.521851,192.8386993,476.7297668,1264.456055,1086.36438,866.8910522,,,1740.707153,514.6740723,1207.950562,881.0126343,1488.140869,881.7512207,1615.024658,721.3847046,1432.745239,330.9388733,1616.727661,1367.494873,,,,,1112.136719,1195.332153,62.79179001,1275.079468,1800.479858,352.5505371,,,535.2843018,1170.257813,455.3106384,1179.968506,1281.422729,616.3931274,287.808075,1400.210327,,,402.8593445,1194.501587,,,1173.790894,385.6952209,1484.258301,1187.781128,94.89096832,915.5405884,430.3435364,829.8979492,,,,,1834.4646,408.311676,16.26458931,367.0646362,1616.099731,1315.295776,30.93698502,1146.043457,,,1154.487793,790.3137207,1323.783325,1303.364258,170.7446899,1426.884888,1018.591187,60.56332397,1242.366943,763.7890625,1703.949341,1265.222534,1328.475098,984.7918701,500.1049194,217.1211548,794.9717407,1209.881714,1778.612793,630.5645752,246.7948151,1354.044556,1217.857666,1353.24231,1285.330811,805.5129395,1271.947754,971.710022,224.2689514,1314.955322,146.4540405,1020.322449,12.64612961,1351.058105,1798.564087,941.6999512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,812.1265869,1306.235352,1203.845337,1213.2771,110.2220001,960.2587891,188.6152649,639.9429932,119.4311981,978.2687988,1828.429443,287.7382202,,,441.348053,1049.587891,1702.974121,921.039978,1606.546753,933.6212769,979.4144897,1048.10498,,,1426.441406,192.8415833,476.7080078,1264.902344,1086.612549,866.5663452,,,1740.276978,514.5733032,1207.682007,880.8927612,1488.041992,881.4481812,1614.871582,721.9085083,1432.838989,330.8622742,1617.211304,1367.846069,,,,,1112.297852,1195.143555,63.00011063,1275.085815,1800.494873,352.2084656,,,535.427063,1170.300781,455.4126587,1180.300781,1281.582764,616.3840942,287.5798645,1400.654907,,,402.8620911,1193.783325,,,1173.46106,385.3157959,1484.497437,1187.769043,95.0876236,915.1317139,429.9852295,829.6435547,,,,,1834.393066,408.3835144,16.54219818,367.0050354,1615.92627,1315.22522,31.71087646,1145.959106,,,1155.00769,790.3086548,1322.510498,1304.634033,171.3523102,1426.794312,1018.073486,61.3559227,1242.099121,763.4017944,1703.634521,1266.369751,1328.433105,984.617981,498.6976624,218.6834717,794.2172852,1210.443726,1778.194702,629.9770508,247.0517883,1354.167847,1216.402954,1350.653564,1285.34668,805.4364014,1274.704468,973.7851563,224.5169983,1314.973877,147.4963531,1022.020142,12.86703968,1351.386719,1798.222534,942.050293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,812.7736816,1306.338501,1204.108765,1213.069824,109.5815277,960.3438721,188.6399994,639.7886353,119.5361481,978.489563,1831.017212,285.0714111,,,441.3193665,1049.939819,1703.40332,921.0564575,1607.050781,932.4882202,978.8309326,1048.797607,,,1426.50415,192.891922,476.7543945,1264.7854,1086.372314,866.5827026,,,1740.285034,514.2449951,1207.82605,880.2877808,1488.397339,881.6430664,1615.411133,719.9505615,1432.742065,330.7890625,1616.940063,1367.573242,,,,,1111.911133,1195.054688,63.30321503,1275.201172,1801.449951,352.2506409,,,535.6038208,1170.097168,455.3640442,1180.502197,1281.643066,616.4313965,287.8868713,1400.852417,,,403.3119507,1193.234253,,,1173.612549,385.2675476,1484.549683,1187.655762,98.1832962,915.3858032,429.7979126,829.4765625,,,,,1834.602173,408.7276001,16.99591827,366.7827454,1615.76062,1315.355347,31.91624069,1146.451294,,,1154.961548,790.1196289,1322.634521,1305.558228,173.2765198,1426.571655,1018.606628,60.99679565,1242.210449,763.5626831,1702.377197,1266.911011,1328.537231,984.5861816,499.5212097,221.0108185,794.8848267,1212.22522,1776.728394,629.703125,247.3626404,1353.654541,1218.445313,1348.237183,1285.375244,805.7092285,1273.721191,974.3113403,225.794693,1316.023315,151.513504,1023.298279,12.40420341,1349.782715,1799.257202,940.6762695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,812.1043091,1306.513916,1202.202881,1213.515259,110.1777039,960.1627808,188.7767181,639.7405396,119.6515579,978.456665,1833.979004,286.9313354,,,443.181488,1049.005005,1701.810303,921.1351929,1611.009277,931.5769043,979.7351685,1047.901611,,,1426.585815,192.8931122,476.6037903,1264.999512,1086.548706,866.1851196,,,1740.105591,514.7103882,1207.162598,880.6491699,1487.661133,876.1260376,1614.569336,722.1657104,1432.911011,330.6473694,1617.03833,1367.628174,,,,,1112.400757,1195.293213,63.46991348,1274.423462,1801.603027,352.5083923,,,534.4268799,1169.801025,454.5610962,1180.193726,1282.077393,615.9172363,287.8054199,1401.408203,,,401.6416321,1192.918335,,,1173.549683,384.8031006,1483.471558,1187.633423,98.14916992,916.2283325,429.3653564,829.6105957,,,,,1834.128418,409.0568542,16.37906837,366.7929077,1616.213135,1315.417969,31.4917984,1146.893677,,,1154.859253,789.7089844,1323.147583,1306.562134,175.287262,1429.493774,1016.507324,63.01167679,1242.193848,763.2713013,1701.03894,1266.13562,1329.079468,984.8284302,499.3324585,221.5337982,793.3328247,1213.392334,1776.945801,631.0664673,247.0596924,1352.661987,1217.417969,1349.576172,1285.256836,805.5777588,1271.199707,969.8995972,224.878006,1317.227051,150.9435577,1024.868652,12.57137394,1349.824219,1796.330811,939.8400879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,812.2406616,1306.473511,1202.444458,1213.42627,110.2344589,960.293457,188.8185425,639.8110962,119.4574051,978.4428711,1835.442017,287.0811768,,,443.3494873,1048.987793,1702.291382,921.043457,1611.978394,931.7243652,980.0669556,1047.698242,,,1426.503418,192.9287415,476.5742493,1265.006714,1086.584839,866.045105,,,1739.906006,514.6174316,1207.140869,880.6990967,1487.707031,876.2844238,1614.630737,722.3121948,1433.019165,330.5038147,1617.347656,1367.887939,,,,,1112.261719,1195.288086,63.9432869,1274.328979,1801.488037,352.5438843,,,535.1209106,1169.756836,454.6896362,1180.238647,1282.269165,615.4281616,288.3728638,1401.952026,,,402.0328674,1193.575073,,,1173.513306,384.7530212,1483.597656,1187.555298,98.3355484,916.1784668,429.4813538,829.6932373,,,,,1833.939941,409.3539429,17.23097229,367.0276489,1615.896729,1315.278198,31.95893669,1146.439575,,,1154.713623,789.5926514,1324.138916,1307.969727,176.8465881,1429.878418,1016.69812,63.9192276,1242.217651,763.1676636,1701.086182,1266.525879,1328.789307,984.649292,498.763855,222.0591278,793.3300781,1214.034424,1775.12146,631.1845093,247.1769714,1352.603149,1222.821167,1348.271362,1285.214966,805.3924561,1272.032593,969.0986328,229.0834656,1308.325439,151.8963318,1025.384399,12.94122314,1349.159668,1794.92749,938.381958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
