FNM150Delta_Point_0_x/Delta_Point_0_y,334+/-30
Sum150_Delta_Point_1_x/Delta_Point_1_y,
ratio15/10Delta_Point_1_x/Delta_Point_1_y,3.0+/-2.5
FNM300Delta_Point_2_x/Delta_Point_2_y,(2.7+/-3.0)e+02
Sum450_Delta_Point_3_x/Delta_Point_3_y,
Sum150_Delta_Point_4_x/Delta_Point_4_y,
ratio15/10Delta_Point_4_x/Delta_Point_4_y,3.1+/-3.3
FNM300Delta_Point_5_x/Delta_Point_5_y,(3.2+/-2.3)e+02
Sum300_Delta_Point_6_x/Delta_Point_6_y,
RMSDelta_Point_7_x/Delta_Point_7_y,
ratio10/5Delta_Point_7_x/Delta_Point_7_y,
FNM300Delta_Point_8_x/Delta_Point_8_y,(5+/-4)e+02
Sum450_Delta_Point_9_x/Delta_Point_9_y,
RMSDelta_Point_10_x/Delta_Point_10_y,7.901886748357067
ratio10/5Delta_Point_10_x/Delta_Point_10_y,1.7+/-1.8
FNM300Delta_Point_11_x/Delta_Point_11_y,(6.5+/-3.3)e+02
Sum300_Delta_Point_12_x/Delta_Point_12_y,
NewColumnDelta_Point_12_x/Delta_Point_12_y,1.99+/-0.21
FNM450Delta_Point_13_x/Delta_Point_13_y,(6.0+/-2.6)e+02
Sum450_Delta_Point_14_x/Delta_Point_14_y,
Sum150_Delta_Point_15_x/Delta_Point_15_y,
ratio15/10Delta_Point_15_x/Delta_Point_15_y,3+/-4
FNM450Delta_Point_16_x/Delta_Point_16_y,(8.9+/-3.3)e+02
Sum450_Delta_Point_17_x/Delta_Point_17_y,
Sum150_Delta_Point_18_x/Delta_Point_18_y,
ratio15/10Delta_Point_18_x/Delta_Point_18_y,3+/-4
FNM450Delta_Point_19_x/Delta_Point_19_y,(9+/-6)e+02
Sum450_Delta_Point_20_x/Delta_Point_20_y,
Sum150_Delta_Point_21_x/Delta_Point_21_y,
ratio15/10Delta_Point_21_x/Delta_Point_21_y,nan+/-nan
FNM450Delta_Point_22_x/Delta_Point_22_y,(5+/-5)e+02
FNM150Delta_Point_23_x/Delta_Point_23_y,(2.1+/-2.1)e+02
Sum150_Delta_Point_24_x/Delta_Point_24_y,
ratio15/10Delta_Point_24_x/Delta_Point_24_y,3+/-4
