f[Hz]	G[Ohm-1]	faze[deg]
650	0.00735834187694144	75
670	0.00942324400187128	70
690	0.0127784359039093	62.5
710	0.0184554844448837	47.5
720	0.0224215246636771	34.7
730	0.0260983212650583	17
735	0.0270891341541145	6.3
739.7	0.0273259349346306	0
740	0.0272218481737081	-5
745	0.0263625204582651	-15.3
750	0.0248063703381132	-25
760	0.0210294037645523	-40
770	0.0175253879371708	-50.5
780	0.0147624279044219	-57.4
790	0.0127284532046437	-62.9
800	0.0111082046471352	-66.7
820	0.00882449113054852	-71.7
840	0.00732783809553102	-74.8
